video_id,channelTitle,publishedAt,video_url,title,description,likeCount,dislikeCount,commentCount,viewCount
b_p41L9U3hQ,Jenn Im,2021-12-07 18:00:28,https://www.youtube.com/watch?v=b_p41L9U3hQ,"Q&A | wasting time in a relationship, comparison, is marriage scary?","Feels like a good time to drop a new girl chat. In this video, I touch on topics like marriage, friendships, and more! Thank you to BetterHelp for sponsoring this video. Start your therapy journey here: https://betterhelp.com/jenn
-----------------------------------------

Subscribe and become a Jem today: http://bit.ly/2iLayjY

------------------------------------------

➫ Instagram: http://instagram.com/imjennim
➫ Twitter: http://twitter.com/imjennim
➫ Facebook: http://facebook.com/imjennim
➫ Spotify: https://bit.ly/JennImSpotify
➫ TikTok: https://bit.ly/2UZB7Zd
------------------------------------------ 

0:00 - Intro
1:29 - How do I know if the relationship I’m in is a waste of time?
2:51 - How do you deal with not being your best friend’s best friend?
4:31 - Tips on how to make friends in a new city as an adult.
5:55 - Is marriage scary? I know some people don't see a point in it. What are the pros?
8:07 - I’m very bad at expressing my ideas and thoughts. How do I improve this? 
9:21 - How do you stop comparing yourself to others?

------------------------------------------ 

❐ ON ME ❏
➥ Neiwai - 2021 Barely Zero Your-Size-Is-The-Size Classic Wireless Bra Trio: https://go.magik.ly/ml/18x6j/
➥ My top: Lisa Says Gah
➥ By Chari Initial Necklace: https://bit.ly/3HApCxv

------------------------------------------

❐ MUSIC ❏
➥ nawhij

------------------------------------------
FTC: This video is sponsored by BetterHelp! Some of the links above are affiliate links, which means I may earn a small commission if anyone purchases through them. This helps support my channel so I can continue to create videos for ya'll~",3964,29,192,53059
DnwLS7PYGGQ,Jenn Im,2021-12-03 18:00:13,https://www.youtube.com/watch?v=DnwLS7PYGGQ,Managing My Anxiety |  Jennglebells #1,"Jennglebells is back! I'll be vlogging all the way up until Christmas. Thank you Grubhub for sponsoring this video. Order from your local favorites to pressure test the #GrubhubGuarantee for yourself:  https://grhb.me/JENNIM

-----------------------------------------

Subscribe and become a Jem today: http://bit.ly/2iLayjY

------------------------------------------

➫ Instagram: http://instagram.com/imjennim
➫ Twitter: http://twitter.com/imjennim
➫ Facebook: http://facebook.com/imjennim
➫ Spotify: https://bit.ly/JennImSpotify
➫ TikTok: https://bit.ly/2UZB7Zd
------------------------------------------ 

❐ HAIR ❏
➥ Dyson - Corrale Hair Straightener: https://go.magik.ly/ml/1c38j/

❐ CLOTHES ❏
➥ Fabletics - Define High Waisted Shorts: https://go.magik.ly/ml/1cui7/
➥ Hoka - Bondi 7 Sneakers: https://bit.ly/3D68vjI
➥ Neiwai - Laid Back Ribbed V-Tie Padded Dress: https://go.magik.ly/ml/1cuhe/
➥ Neiwai - Laid Back Ribbed Cardigan: https://go.magik.ly/ml/1cuhh/

❐ BREATHWORK/ BOOKS / FORUMS  ❏
➥ Wim Hof Breathing Exercise: https://bit.ly/3E5gLBT
➥ Parenting From The Inside Out by Daniel J. Siegel: https://amzn.to/3o2pJdk
➥ r/NewParents: https://bit.ly/3d0xE4F
➥ r/BeyondTheBump: https://bit.ly/3iv62bK

------------------------------------------

❐ MUSIC ❏
➥ Epidemic Sound

------------------------------------------
FTC: This video is sponsored by Grubhub! Some of the links above are affiliate links, which means I may earn a small commission if anyone purchases through them. This helps support my channel so I can continue to create videos for ya'll~",10673,81,373,253180
0flaGik48VE,Jenn Im,2021-11-30 18:00:01,https://www.youtube.com/watch?v=0flaGik48VE,Holiday Hair + Outfits,"Mama got ready today. The holidays are soon approaching so here are a couple of looks to help you get inspired for this season. Thank you Dyson for sponsoring this video! 
#dysonhair #dysonpartner
-----------------------------------------

Subscribe and become a Jem today: http://bit.ly/2iLayjY

------------------------------------------

➫ Instagram: http://instagram.com/imjennim
➫ Twitter: http://twitter.com/imjennim
➫ Facebook: http://facebook.com/imjennim
➫ Spotify: https://bit.ly/JennImSpotify
➫ TikTok: https://bit.ly/2UZB7Zd
------------------------------------------ 

❐ HAIR ❏
➥ Dyson - Corrale Hair Straightener: https://www.inflcr.co/SHAQU

❐ CLOTHES ❏
〰️ Last Minute Shopping 〰️ 
➥ Proof Tshirt
➥ Vintage Jacket
➥ H&M - Mom Loose-fit Twill Pants: https://go.magik.ly/ml/1c3pi/
➥ Converse - Canvas Platform Low-Tops: https://go.magik.ly/ml/189on/

〰️ Parents Are Out! 〰️
➥ La Marque - Leather Jacket: https://go.magik.ly/ml/1c3pz/
➥Urban Outfitters - Audrey Mesh Mini Dress: https://go.magik.ly/ml/1c3r4/
➥ Nodaleto - Bulla Lace Up Ankle Boots

〰️ Christmas Day 〰️
➥ En Saison - Lily Mini Dress: https://bit.ly/3n9yX7q
➥ StyleNanda Boots


〰️ A Family Holiday Excursion 〰️
➥ Pixie Market Dress
➥ Eggie Coat
➥ ACNE - Ribbed Beanie Hat: https://bit.ly/30fPZbl
➥ Nodaleto - Bulla Lace Up Ankle Boots

------------------------------------------

❐ MUSIC ❏

➥ Epidemic Sound

------------------------------------------
FTC: This video is sponsored by Dyson! Some of the links above are affiliate links, which means I may earn a small commission if anyone purchases through them. This helps support my channel so I can continue to create videos for ya'll~",4958,144,151,117159
zOTTyQ3Owe4,Jenn Im,2021-11-19 18:00:19,https://www.youtube.com/watch?v=zOTTyQ3Owe4,My Newborn Essentials | Most Used Baby Products,"Your survival guide to all things newborn must-haves is here! Get your first purchase from Blueland for 20% off by clicking my link https://bit.ly/3CqvaYv   Now shipping to the U.S., Canada, the U.K., Australia & New Zealand!  

-----------------------------------------

Subscribe and become a Jem today: http://bit.ly/2iLayjY

------------------------------------------

➫ Instagram: http://instagram.com/imjennim
➫ Twitter: http://twitter.com/imjennim
➫ Facebook: http://facebook.com/imjennim
➫ Spotify: https://bit.ly/JennImSpotify
➫ TikTok: https://bit.ly/2UZB7Zd

------------------------------------------ 

❐ FEEDING ❏
➥ Butterr - Nursing Pillow: https://bit.ly/3FkyhlH
➥ My Brest Friend - Nursing Pillow: https://amzn.to/3qJVObE
➥ Haakaa - Manual Breast Pump: https://amzn.to/3chOGuB
➥ Spectra - Breast Pump: https://amzn.to/3CgIcqt
➥ Pumping Bra: https://amzn.to/3kG6EvA

❐ CLEANING + BATHROOM ❏
➥ Blueland - Essentials Kit: https://bit.ly/3CqvaYv  
➥ Muslin Burp Cloths: https://amzn.to/3FoLt96
➥ Keekaroo - Peanut Changer: https://amzn.to/3njcbtR
➥ Ubbi - Diaper Pail: https://amzn.to/3Cf1xs1

❐ PLAY + LOUNGING ❏
➥ Aden + Anais - Baby Activity Gym: https://bit.ly/30qng34
➥ Baby Bjorn - Baby Bouncer: https://amzn.to/3wRfwTL
➥ Doona - Car Seat + Stroller: https://amzn.to/3FnZ54F

❏ SLEEP ❏
➥ Hatch - Sound Machine: https://amzn.to/3Hqq1T1
➥ Snoo - Smart Bassinet: https://amzn.to/3ozMJiS


❐ MISC ❏
➥ Smeg - Mini Fridge: https://amzn.to/3oA97bQ
➥ Wabi - UV-C Sterilizer: https://amzn.to/30skJ98
➥ Baby Nail Trimmer: https://amzn.to/3kHORUR

------------------------------------------

❐ MUSIC ❏
➥ Epidemic Sound

------------------------------------------
FTC: This video is sponsored by Blueland! Some of the links above are affiliate links, which means I may earn a small commission if anyone purchases through them. This helps support my channel so I can continue to create videos for ya'll~",9984,151,311,245324
X1e_CNNfHP4,Jenn Im,2021-11-05 17:00:32,https://www.youtube.com/watch?v=X1e_CNNfHP4,Life As A New Mom | November Vlog,"Catch up with me as I get back into the groove of trying to create a routine for myself as a new mom. Thanks to SkinCeuticals for sponsoring this video. Check out the Triple Lipid Restore 2:4:2 here: https://bit.ly/2YjFIK8

-----------------------------------------

Subscribe and become a Jem today: http://bit.ly/2iLayjY

------------------------------------------

➫ Instagram: http://instagram.com/imjennim
➫ Twitter: http://twitter.com/imjennim
➫ Facebook: http://facebook.com/imjennim
➫ Spotify: https://bit.ly/JennImSpotify
➫ TikTok: https://bit.ly/2UZB7Zd
------------------------------------------ 

❐ SKIN ❏
➥ SkinCeuticals - C E Ferulic: https://go.magik.ly/ml/1bndl/
➥ SkinCeuticals - Triple Lipid Restore 2:4:2: https://bit.ly/2YjFIK8

❐ CLOTHES ❏
➥ Pillow Slides: https://amzn.to/3pW2Oln
➥ Self-Portrait - Taupe Cable Knit Sweater: https://bit.ly/2ZKr9ja
➥ Old Navy - High Waister Jogger Pants: https://go.magik.ly/ml/1bnoo/
➥ Old Navy - Vintage Hoodie: https://go.magik.ly/ml/1bnpp/
➥ Old Navy - High Waisted Sweatpants: https://go.magik.ly/ml/1bnpr/

❐ KITCHEN ❏
➥ SMEG - Electric Kettle: https://amzn.to/3BF5uWB

❐ BABY ❏
➥ YOOFOSS - Muslin Cloths: https://amzn.to/3CPPMtv
➥ ArtiPoppe - Baby Carrier: https://bit.ly/3jZ8Fm2


------------------------------------------

❐ MUSIC ❏
➥ garba9 
➥ nawhij
➥ Reggie San Miguel - Twilight - https://thmatc.co/?l=A6B499C8
➥ Epidemic Sound

------------------------------------------
FTC: This video is sponsored by SkinCeuticals! Some of the links above are affiliate links, which means I may earn a small commission if anyone purchases through them. This helps support my channel so I can continue to create videos for ya'll~",24952,160,799,600537
