"","user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote"
"1689","1352244011419934722","1438535699871911937",2021-09-16 16:10:12,"IFENewsAgency","#BREAKING | #NEW: Multiple Rockets hits #Kabul substations... Locals confirmed the incident to Amaj News, said that several rockets fired at the Chamtaleh substation in #Kabul. Details of damage and casualties are not yet available.

Possible Islamic State strikes not ruled out https://t.co/OT7aEG3FaX","Twitter for Android",278,"1438535001956487168","1352244011419934722","IFENewsAgency",FALSE
"1690","1352244011419934722","1438434633209692160",2021-09-16 09:28:36,"IFENewsAgency","TRT World has learnt that many women at the pro-Taliban demonstrations in #Kabul were forced to participate by the group.<U+00A0>

""We were forcibly made to wear those burqas and asked to sit down in the theater""

#Afghanistan
https://t.co/QAJrCJjs6Z","Twitter for Android",243,NA,NA,NA,FALSE
"1691","1352244011419934722","1438537997855514626",2021-09-16 16:19:20,"IFENewsAgency","<U+0001F6A8>Credible sources claiming a massive power outage in several parts of #Kabul... ISIS doing the same things that the Taliban were doing for the last 20 years. After 20 years we say Taliban take over in at least 1 or 2 years we will see Islamic State re-emerging in #Afghanistan","Twitter for Android",276,"1438535699871911937","1352244011419934722","IFENewsAgency",FALSE
"1692","1352244011419934722","1438549178611736594",2021-09-16 17:03:45,"IFENewsAgency","Reports from #Kabul say what is believed to be an 85mm RPG munition struck near Sekurtel checkpoint around 8pm https://t.co/pGaucLyX99","Twitter for Android",110,"1438537997855514626","1352244011419934722","IFENewsAgency",FALSE
"1693","1336255199837470721","1438546221459656705",2021-09-16 16:52:00,"OsintUpdates","#BigUpdate: <U+0001F6A8> Rocket attack in Kabul, Afghanistan. More details awaited...

#KabulAttack #Kabul #Afghanistan","Twitter for Android",108,NA,NA,NA,FALSE
"1694","1336255199837470721","1438549134072422438",2021-09-16 17:03:35,"OsintUpdates","#Kabul: An 85mm RPG munition struck near Sekurtel checkpoint around 8pm. Multiple explosions were reported from the area. Another hit near Chamteleh substation. #Afghanistan #taliban #kabulattack https://t.co/IfkaIr6ScK","Twitter for Android",195,"1438547027323875332","1336255199837470721","OsintUpdates",FALSE
"1695","1336255199837470721","1438082550312833026",2021-09-15 10:09:32,"OsintUpdates","#BigUpdate: <U+0001F6A8>US wants a small military base in Northwest India. #US possibly negotiating with #India for bases for over the horizon strikes on #Afghanistan.

#Taliban #Kabul #Pakistan #Panjshir","Twitter for Android",193,NA,NA,NA,FALSE
"1696","1336255199837470721","1438068955101351941",2021-09-15 09:15:31,"OsintUpdates","#BIG:<U+0001F6A8>The European Parliament condemns #Taliban violence in Afghanistan. European Parliament has passed a resolution calling for the invitation of Ahmad Massoud, the leader of the NRF to a session of the European Parliament and the Council of the European Union.
#Kabul #Panjshir https://t.co/mXjAvpr640","Twitter for Android",279,NA,NA,NA,FALSE
"1697","1336255199837470721","1438547027323875332",2021-09-16 16:55:12,"OsintUpdates","#Breaking: <U+0001F6A8> Rocket attack in Kabul.
Several rockets fired at the Chamtaleh substation in #Kabul. Massive power outage reported.
#kabulattack #Afghanistan
https://t.co/RZs0APH7Nu https://t.co/IxcIfUUja6","Twitter for Android",202,NA,NA,NA,TRUE
"1698","1336255199837470721","1437846584981483521",2021-09-14 18:31:54,"OsintUpdates","#Breaking: <U+0001F6A8> Former Vice President of Afghanistan Amrullah Saleh crying over the death of his elder brother Rohullah Saleh. His brother was killed by Taliban in #Panjshir.

#AmrullahSaleh #Taliban #Kandahar #Afganistan #Talibans #Kabul 
https://t.co/6BGSQuctOH","Twitter for Android",260,NA,NA,NA,FALSE
